niv_active_side,quarter,technology,technology_sp_weight,side_quarter_sp_weight,share,share_pct
bid,2024Q1,PS,181.9,2173.0,0.08370915784629544,8.370915784629544
bid,2024Q1,BIOMASS,114.34285714285714,2173.0,0.052619814607849584,5.261981460784958
bid,2024Q1,OTHER,110.16067821067821,2173.0,0.05069520396257626,5.0695203962576265
bid,2024Q1,DSR,71.68585858585858,2173.0,0.03298935047669516,3.2989350476695165
bid,2024Q1,COAL,43.80367965367965,2173.0,0.02015815906750099,2.015815906750099
bid,2024Q1,NPSHYD,34.0,2173.0,0.015646571560055222,1.5646571560055222
bid,2024Q1,IFA,32.666666666666664,2173.0,0.015032980518484429,1.503298051848443
bid,2024Q1,BritNed,24.333333333333332,2173.0,0.011198036508666973,1.1198036508666973
bid,2024Q1,NEMO,16.0,2173.0,0.007363092498849517,0.7363092498849517
bid,2024Q1,Viking,4.0,2173.0,0.0018407731247123793,0.18407731247123793
bid,2024Q1,Eleclink,3.0,2173.0,0.0013805798435342844,0.13805798435342845
bid,2024Q1,OCGT,2.25,2173.0,0.0010354348826507134,0.10354348826507134
bid,2024Q1,GAS,0.25,2173.0,0.0001150483202945237,0.01150483202945237
bid,2024Q2,CCGT,883.0199855699856,2235.0,0.3950872418657654,39.508724186576536
bid,2024Q2,WIND,367.0,2235.0,0.16420581655480984,16.420581655480984
bid,2024Q2,BATTERY,248.56935425685427,2235.0,0.11121671331402876,11.121671331402876
bid,2024Q2,BIOMASS,227.56666666666666,2235.0,0.10181953765846383,10.181953765846382
bid,2024Q2,PS,138.39107142857142,2235.0,0.06191994247363375,6.191994247363375
bid,2024Q2,OTHER,87.32662337662337,2235.0,0.0390723147098986,3.9072314709898603
bid,2024Q2,DSR,76.48535353535354,2235.0,0.03422163469143335,3.4221634691433347
bid,2024Q2,IFA,39.5,2235.0,0.01767337807606264,1.7673378076062638
bid,2024Q2,NEMO,37.5,2235.0,0.016778523489932886,1.6778523489932886
bid,2024Q2,BritNed,35.0,2235.0,0.015659955257270694,1.5659955257270695
bid,2024Q2,Viking,34.0,2235.0,0.015212527964205816,1.5212527964205815
bid,2024Q2,NPSHYD,20.22222222222222,2235.0,0.009047974148645289,0.9047974148645289
bid,2024Q2,IFA2,19.0,2235.0,0.008501118568232663,0.8501118568232663
bid,2024Q2,COAL,12.808008658008658,2235.0,0.005730652643404321,0.5730652643404321
bid,2024Q2,Eleclink,5.0,2235.0,0.0022371364653243847,0.22371364653243847
bid,2024Q2,OCGT,2.0,2235.0,0.0008948545861297539,0.0894854586129754
bid,2024Q2,GAS,1.6107142857142858,2235.0,0.0007206775327580697,0.07206775327580697
bid,2024Q3,CCGT,871.4087301587301,2193.0,0.3973592020787643,39.73592020787643
bid,2024Q3,BATTERY,339.55505050505053,2193.0,0.1548358643433883,15.48358643433883
bid,2024Q3,WIND,238.0,2193.0,0.10852713178294573,10.852713178294573
bid,2024Q3,BIOMASS,200.53333333333333,2193.0,0.09144246846025232,9.144246846025233
