side,marginal_bmu_id,technology_key,n_marginal_sps,tie_adjusted_weight,p05_system_price,p25_system_price,median_system_price,p75_system_price,p95_system_price,marginal_side_share_pct,technology_side_median_system_price,p05_system_price_deviation,p25_system_price_deviation,median_system_price_deviation,p75_system_price_deviation,p95_system_price_deviation,registered_capacity_mw,plant_family,lead_party,displayed_in_figure
OFFER,2__ASTAT008,BATTERY,32,28.93452380952381,50.312279345164164,82.00615051415721,99.95,117.4,150.92156923076922,0.12210205430866275,107.235,-56.922720654835835,-25.228849485842787,-7.284999999999997,10.165000000000006,43.68656923076922,28.749,2__ASTAT_B,Statkraft Markets Gmbh,False
OFFER,2__GANGE001,LOAD RESPONSE,33,27.86111111111111,36.228,84.0,91.9,106.0,121.9833098259935,0.11757231341988905,109.0,-72.77199999999999,-25.0,-17.099999999999994,-3.0,12.983309825993501,50.0,2__GANGE,Limejump Energy Limited,False
OFFER,2__HSTAT003,BATTERY,28,27.5,94.55,113.775,121.35,133.8,140.0,0.11604844495083766,107.235,-12.685000000000002,6.540000000000006,14.114999999999995,26.565000000000012,32.765,20.475,2__HSTAT,Statkraft Markets Gmbh,False
OFFER,2__DSTAT006,BATTERY,40,27.183333333333334,88.051,102.56621575191262,109.5,116.2475,131.39499999999998,0.11471212952413105,107.235,-19.183999999999997,-4.668784248087377,2.2650000000000006,9.012500000000003,24.159999999999982,14.0,2__DSTAT,Statkraft Markets Gmbh,False
OFFER,E_RDFRB-1,DIESEL,75,27.133369408369408,85.0,98.0,110.0,129.3,167.93,0.11450128458610545,114.71,-29.709999999999994,-16.709999999999994,-4.709999999999994,14.590000000000018,53.22000000000001,20.0,E_RDFRB,Conrad Energy (Trading) Ltd,False
OFFER,E_WTRLN-1,DIESEL,32,27.083333333333332,94.7525,107.07482584381022,115.0,131.23585169262066,194.7,0.11429013517885525,114.71,-19.957499999999996,-7.635174156189777,0.29000000000000625,16.525851692620662,79.99,20.0,E_WTRLN,Conrad Energy (Trading) Ltd,False
OFFER,2__DSTAT004,BATTERY,32,27.076923076923077,88.55010751403655,104.71752525252525,116.5,125.25,172.779166,0.1142630842592863,107.235,-18.684892485963445,-2.5174747474747505,9.265,18.015,65.544166,16.0,2__DSTAT,Statkraft Markets Gmbh,False
OFFER,2__GSTAT016,BATTERY,30,27.05952380952381,84.842,104.535,110.0,129.5,171.49999999999991,0.114189660334742,107.235,-22.393,-2.700000000000003,2.7650000000000006,22.265,64.26499999999992,8.0,2__GSTAT_B,Statkraft Markets Gmbh,False
OFFER,2__GLOND002,LOAD RESPONSE,82,26.814567377067377,77.80999999999999,90.0,101.29506305118272,118.0,148.76850000000002,0.11315595804138658,109.0,-31.190000000000012,-19.0,-7.704936948817277,9.0,39.76850000000002,0.0,2__GLOND_LR,EDF Energy Customers Limited,False
OFFER,2__MSTAT003,BATTERY,32,26.426923076923078,87.50500000000001,108.5475,121.1,133.8,153.005,0.11152012101499378,107.235,-19.72999999999999,1.3125,13.864999999999995,26.565000000000012,45.769999999999996,16.0,2__MSTAT_B,Statkraft Markets Gmbh,False
OFFER,T_RICHB-2,OTHER,43,26.39623015873016,76.0,90.73503657154632,99.6,118.8,140.312,0.11139059863581956,107.345,-31.345,-16.609963428453682,-7.7450000000000045,11.454999999999998,32.96700000000001,49.9,T_RICHB,Limejump Energy Limited,False
OFFER,2__DSTAT003,BATTERY,29,26.3,90.64,104.5,125.0,147.95,199.49999999999997,0.11098451280752838,107.235,-16.595,-2.7349999999999994,17.765,40.71499999999999,92.26499999999997,20.447,2__DSTAT,Statkraft Markets Gmbh,False
OFFER,E_GOSHS-1,DIESEL,41,26.227355977355977,94.0,106.4,121.0,127.0,145.0,0.11067795913978976,114.71,-20.709999999999994,-8.309999999999988,6.290000000000006,12.290000000000006,30.290000000000006,20.0,E_GOSHS,Conrad Energy (Trading) Ltd,False
OFFER,T_WHLWB-1,BATTERY,29,25.676190476190477,77.0,104.0,115.0,127.0,146.624,0.10835207189176047,107.235,-30.235,-3.2349999999999994,7.765000000000001,19.765,39.388999999999996,50.2,T_WHLWB,SP Renewables (UK) Limited,False
OFFER,E_RDFRD-1,DIESEL,72,25.675036075036076,85.0,101.125,110.58500000000001,125.0,158.45,0.1083472003841671,114.71,-29.709999999999994,-13.584999999999994,-4.124999999999986,10.290000000000006,43.739999999999995,20.5,E_RDFRD,Conrad Energy (Trading) Ltd,False
OFFER,V__BCEND004,BATTERY,34,25.542929292929294,83.775,98.32499999999999,109.45,120.75,144.62038268005503,0.10778971723395069,107.235,-23.459999999999994,-8.91000000000001,2.2150000000000034,13.515,37.38538268005503,0.0,V__BCEND,Centrica Business Solutions UK,False
OFFER,2__KSTAT006,BATTERY,31,25.416666666666668,51.2650505050505,89.81,99.86000000000001,119.8,149.5,0.10725689609092573,107.235,-55.969949494949496,-17.424999999999997,-7.374999999999986,12.564999999999998,42.265,21.032,2__KSTAT,Statkraft Markets Gmbh,False
OFFER,2__LANGE002,LOAD RESPONSE,38,25.010353535353534,69.676,91.57755485731947,99.5,112.5,125.52199999999999,0.10554227765267137,109.0,-39.324,-17.42244514268053,-9.5,3.5,16.52199999999999,50.0,2__LANGE,Limejump Energy Limited,False
