niv_bin,technology,technology_sp_weight,n_settlement_periods,median_system_price,q1_system_price,q3_system_price,share_within_niv_bin,share_pct
−500 to −250,GAS,3.678571428571429,6865,52.15942816256625,15.334110171241813,66.0,0.0005358443450213298,0.05358443450213298
−500 to −250,DIESEL,3.0,6865,52.15942816256625,15.334110171241813,66.0,0.00043699927166788056,0.043699927166788055
−500 to −250,SOLAR,1.0,6865,52.15942816256625,15.334110171241813,66.0,0.0001456664238892935,0.014566642388929352
−250 to 0,CCGT,8228.443542568542,16849,61.0,46.15,71.04,0.48836391136379265,48.83639113637926
−250 to 0,BATTERY,2828.391271228771,16849,61.0,46.15,71.04,0.16786701117150996,16.786701117150997
−250 to 0,WIND,1319.5,16849,61.0,46.15,71.04,0.0783132530120482,7.83132530120482
−250 to 0,OTHER,1070.11795981796,16849,61.0,46.15,71.04,0.06351225353540031,6.351225353540031
−250 to 0,PS,1005.1338675213675,16849,61.0,46.15,71.04,0.05965540195390631,5.9655401953906315
−250 to 0,BIOMASS,993.2108225108225,16849,61.0,46.15,71.04,0.05894776084698335,5.894776084698336
−250 to 0,DSR,468.4559634809635,16849,61.0,46.15,71.04,0.02780319090040735,2.7803190900407353
−250 to 0,NPSHYD,226.9595598845599,16849,61.0,46.15,71.04,0.013470209501131218,1.3470209501131218
−250 to 0,IFA,115.16666666666667,16849,61.0,46.15,71.04,0.006835222664055236,0.6835222664055236
−250 to 0,NEMO,113.5,16849,61.0,46.15,71.04,0.006736304825212178,0.6736304825212178
−250 to 0,COAL,107.98582251082252,16849,61.0,46.15,71.04,0.006409034513076296,0.6409034513076296
−250 to 0,BritNed,93.83333333333333,16849,61.0,46.15,71.04,0.005569074326864106,0.5569074326864106
−250 to 0,OCGT,92.17619047619047,16849,61.0,46.15,71.04,0.005470721732814438,0.5470721732814438
−250 to 0,Viking,87.0,16849,61.0,46.15,71.04,0.0051635111876075735,0.5163511187607573
−250 to 0,IFA2,50.0,16849,61.0,46.15,71.04,0.0029675351652917086,0.29675351652917087
−250 to 0,Eleclink,20.0,16849,61.0,46.15,71.04,0.0011870140661166834,0.11870140661166834
−250 to 0,DIESEL,12.666666666666666,16849,61.0,46.15,71.04,0.0007517755752072329,0.07517755752072329
−250 to 0,GAS,10.458333333333334,16849,61.0,46.15,71.04,0.0006207094387401824,0.06207094387401824
−250 to 0,SOLAR,6.0,16849,61.0,46.15,71.04,0.00035610421983500506,0.035610421983500506
0 to 250,CCGT,7872.556324231325,16213,109.9,95.59,128.5,0.485570611498879,48.5570611498879
0 to 250,PS,2843.311544011544,16213,109.9,95.59,128.5,0.17537232739231134,17.537232739231136
0 to 250,BATTERY,2632.0939630544894,16213,109.9,95.59,128.5,0.162344659412477,16.2344659412477
0 to 250,OTHER,846.0668127194443,16213,109.9,95.59,128.5,0.05218447003758986,5.218447003758985
0 to 250,DSR,574.0661816253921,16213,109.9,95.59,128.5,0.03540777040803011,3.5407770408030106
0 to 250,NPSHYD,269.3383116883117,16213,109.9,95.59,128.5,0.01661249069810101,1.6612490698101012
0 to 250,BIOMASS,229.75,16213,109.9,95.59,128.5,0.014170727194226854,1.4170727194226855
0 to 250,DIESEL,214.65440947940948,16213,109.9,95.59,128.5,0.013239647781373556,1.3239647781373556
0 to 250,OCGT,200.54180716943875,16213,109.9,95.59,128.5,0.012369197999718667,1.2369197999718669
0 to 250,COAL,179.2,16213,109.9,95.59,128.5,0.011052858816998704,1.1052858816998703
0 to 250,BritNed,90.66666666666667,16213,109.9,95.59,128.5,0.0055922202347910115,0.5592220234791011
0 to 250,NEMO,66.83333333333333,16213,109.9,95.59,128.5,0.004122206459836756,0.41222064598367564
0 to 250,Viking,56.0,16213,109.9,95.59,128.5,0.0034540183803120953,0.34540183803120955
0 to 250,GAS,51.92064602064602,16213,109.9,95.59,128.5,0.0032024083155890964,0.32024083155890964
0 to 250,IFA,32.0,16213,109.9,95.59,128.5,0.0019737247887497687,0.19737247887497686
0 to 250,WIND,27.0,16213,109.9,95.59,128.5,0.0016653302905076173,0.16653302905076173
0 to 250,IFA2,18.0,16213,109.9,95.59,128.5,0.001110220193671745,0.1110220193671745
0 to 250,Eleclink,9.0,16213,109.9,95.59,128.5,0.0005551100968358725,0.05551100968358725
250 to 500,CCGT,2310.0873015873017,5376,117.82499999999999,102.0,136.0,0.42970373913454274,42.970373913454274
250 to 500,PS,1070.7281135531136,5376,117.82499999999999,102.0,136.0,0.1991681758841357,19.916817588413572
250 to 500,BATTERY,1012.7902278277278,5376,117.82499999999999,102.0,136.0,0.18839103940247912,18.839103940247913
250 to 500,OTHER,252.85388222888224,5376,117.82499999999999,102.0,136.0,0.047033832259836726,4.703383225983672
250 to 500,DSR,213.6121114996115,5376,117.82499999999999,102.0,136.0,0.03973439574025511,3.9734395740255115
250 to 500,DIESEL,122.46190476190476,5376,117.82499999999999,102.0,136.0,0.022779372165532878,2.277937216553288
250 to 500,NPSHYD,105.99935897435897,5376,117.82499999999999,102.0,136.0,0.019717142666361414,1.9717142666361414
250 to 500,OCGT,82.94924242424243,5376,117.82499999999999,102.0,136.0,0.015429546581890333,1.5429546581890334
250 to 500,BIOMASS,49.0,5376,117.82499999999999,102.0,136.0,0.009114583333333334,0.9114583333333334
250 to 500,COAL,39.083333333333336,5376,117.82499999999999,102.0,136.0,0.007269965277777778,0.7269965277777778
250 to 500,BritNed,35.0,5376,117.82499999999999,102.0,136.0,0.006510416666666667,0.6510416666666667
250 to 500,GAS,22.43452380952381,5376,117.82499999999999,102.0,136.0,0.004173088506235828,0.41730885062358275
250 to 500,NEMO,20.0,5376,117.82499999999999,102.0,136.0,0.003720238095238095,0.3720238095238095
250 to 500,IFA,14.0,5376,117.82499999999999,102.0,136.0,0.0026041666666666665,0.26041666666666663
250 to 500,Viking,13.0,5376,117.82499999999999,102.0,136.0,0.002418154761904762,0.2418154761904762
250 to 500,WIND,5.0,5376,117.82499999999999,102.0,136.0,0.0009300595238095238,0.09300595238095237
250 to 500,IFA2,4.0,5376,117.82499999999999,102.0,136.0,0.000744047619047619,0.0744047619047619
250 to 500,Eleclink,3.0,5376,117.82499999999999,102.0,136.0,0.0005580357142857143,0.055803571428571425
"500 to 1,000",CCGT,700.9166666666666,1970,123.475,106.9,145.0,0.3557952622673435,35.579526226734345
"500 to 1,000",PS,447.1126373626374,1970,123.475,106.9,145.0,0.22696072962570424,22.696072962570423
"500 to 1,000",BATTERY,423.93000055500056,1970,123.475,106.9,145.0,0.21519289368274142,21.51928936827414
"500 to 1,000",OTHER,101.86857864357864,1970,123.475,106.9,145.0,0.05170993839775566,5.170993839775566
"500 to 1,000",DSR,94.22236097236097,1970,123.475,106.9,145.0,0.04782860963064009,4.782860963064009
"500 to 1,000",OCGT,42.608333333333334,1970,123.475,106.9,145.0,0.021628595600676818,2.1628595600676817
"500 to 1,000",DIESEL,40.77777777777778,1970,123.475,106.9,145.0,0.020699379582628314,2.0699379582628312
"500 to 1,000",NPSHYD,27.37912087912088,1970,123.475,106.9,145.0,0.013898030903107046,1.3898030903107046
"500 to 1,000",BIOMASS,24.5,1970,123.475,106.9,145.0,0.012436548223350254,1.2436548223350254
"500 to 1,000",BritNed,18.0,1970,123.475,106.9,145.0,0.009137055837563452,0.9137055837563453
"500 to 1,000",COAL,13.666666666666666,1970,123.475,106.9,145.0,0.006937394247038917,0.6937394247038917
"500 to 1,000",GAS,13.017857142857142,1970,123.475,106.9,145.0,0.0066080493110949965,0.6608049311094997
"500 to 1,000",NEMO,7.0,1970,123.475,106.9,145.0,0.003553299492385787,0.3553299492385787
"500 to 1,000",IFA,4.0,1970,123.475,106.9,145.0,0.0020304568527918783,0.20304568527918782
"500 to 1,000",IFA2,4.0,1970,123.475,106.9,145.0,0.0020304568527918783,0.20304568527918782
"500 to 1,000",Viking,4.0,1970,123.475,106.9,145.0,0.0020304568527918783,0.20304568527918782
"500 to 1,000",Eleclink,2.0,1970,123.475,106.9,145.0,0.0010152284263959391,0.10152284263959391
"500 to 1,000",WIND,1.0,1970,123.475,106.9,145.0,0.0005076142131979696,0.050761421319796954
"> 1,000",CCGT,45.833333333333336,138,128.25,107.7125,149.2,0.33212560386473433,33.212560386473434
"> 1,000",BATTERY,35.0,138,128.25,107.7125,149.2,0.2536231884057971,25.36231884057971
"> 1,000",PS,17.0,138,128.25,107.7125,149.2,0.12318840579710146,12.318840579710146
"> 1,000",BIOMASS,11.5,138,128.25,107.7125,149.2,0.08333333333333333,8.333333333333332
"> 1,000",DSR,6.0,138,128.25,107.7125,149.2,0.043478260869565216,4.3478260869565215
"> 1,000",OTHER,5.333333333333333,138,128.25,107.7125,149.2,0.03864734299516908,3.864734299516908
"> 1,000",DIESEL,3.333333333333333,138,128.25,107.7125,149.2,0.024154589371980673,2.4154589371980673
"> 1,000",BritNed,3.0,138,128.25,107.7125,149.2,0.021739130434782608,2.1739130434782608
"> 1,000",NEMO,3.0,138,128.25,107.7125,149.2,0.021739130434782608,2.1739130434782608
"> 1,000",NPSHYD,3.0,138,128.25,107.7125,149.2,0.021739130434782608,2.1739130434782608
"> 1,000",OCGT,3.0,138,128.25,107.7125,149.2,0.021739130434782608,2.1739130434782608
"> 1,000",GAS,2.0,138,128.25,107.7125,149.2,0.014492753623188406,1.4492753623188406
