tie_adjusted_rank,bmu_id,technology,plant_family,lead_party,registered_capacity_mw,marginal_occurrences,bid_weight,offer_weight,tie_adjusted_weight,share_all_sps_pct,bid_share_all_sps_pct,offer_share_all_sps_pct,dominant_side,dominant_side_share
207,2__DSTAT001,BATTERY,2__DSTAT,Statkraft Markets Gmbh,20.0,49,1.0,41.5991452991453,42.5991452991453,0.08404850702222655,0.001973009233683214,0.08207549778854334,Offer,0.9765253506149556
208,T_FFES-3,PS,T_FFES,First Hydro Company,90.0,44,0.0,42.5,42.5,0.08385289243153658,0.0,0.08385289243153658,Offer,1.0
209,M_SLOY-1,NPSHYD,M_SLOY,SSE Generation Ltd,50.0,152,6.963034188034188,35.342374292374295,42.30540848040848,0.08346896156658606,0.013738130747443351,0.06973083081914272,Offer,0.8354103071417276
210,E_POTES-1,BATTERY,E_POTES,Arenko Cleantech Limited,35.0,52,20.632575757575758,21.666666666666668,42.29924242424242,0.08345679588083502,0.040708262484365404,0.04274853339646963,Offer,0.5122235157159488
211,T_EAAO-1,WIND,T_EAAO,East Anglia One Limited,358.0,58,42.0,0.0,42.0,0.08286638781469498,0.08286638781469498,0.0,Bid,1.0
212,E_BTUIW-3,WIND,E_BTUIW,SP Renewables (UK) Limited,52.0,42,41.0,1.0,42.0,0.08286638781469498,0.08089337858101175,0.001973009233683214,Bid,0.9761904761904762
213,2__LFLEX001,DSR,2__LFLEX,Flexitricity Limited,49.0,86,21.760714285714286,20.16190476190476,41.92261904761905,0.08271371448113617,0.0429340902172565,0.03977962426387965,Bid,0.5190685787306545
214,T_AKGLW-2,WIND,T_AKGLW,Aikengall 2 CWCL,63.84,44,41.833333333333336,0.0,41.833333333333336,0.08253755294241445,0.08253755294241445,0.0,Bid,1.0
215,T_SZJNB-1,BATTERY,T_SZJNB,Arenko Cleantech Limited,57.0,43,30.333333333333332,11.5,41.83333333333333,0.08253755294241442,0.059847946755057474,0.022689606187356957,Bid,0.7250996015936255
216,2__HSTAT007,BATTERY,2__HSTAT,Statkraft Markets Gmbh,40.0,48,26.257575757575758,15.125,41.38257575757576,0.08164820408329208,0.05180643942383348,0.029841764659458606,Bid,0.6345080091533181
217,2__GFSEN006,OTHER,2__GFSEN,F & S Energy Ltd,46.138,44,26.833333333333332,13.833333333333334,40.666666666666664,0.08023570883645069,0.05294241443716623,0.02729329439928446,Bid,0.6598360655737705
218,T_KILLPG-1,CCGT,T_KILLPG,Uniper UK Limited,311.0,45,0.0,40.5,40.5,0.07990687396417015,0.0,0.07990687396417015,Offer,1.0
219,I_IND-MFTE1,NEMO,I_IND-MFTE,MFT Energy A/S,,40,40.0,0.0,40.0,0.07892036934732855,0.07892036934732855,0.0,Bid,1.0
220,T_SEEL-1,OCGT,T_SEEL,Spalding Energy Expansion Ltd,300.0,40,5.5,34.0,39.5,0.07793386473048694,0.010851550785257675,0.06708231394522926,Offer,0.8607594936708861
221,T_SLOY-2,NPSHYD,T_SLOY,SSE Generation Ltd,41.0,146,6.463034188034188,31.93404095904096,38.39707514707515,0.0757577838116075,0.012751626130601745,0.06300615768100576,Offer,0.8316789973382516
222,2__BFSEN005,OTHER,2__BFSEN_OTH,F & S Energy Ltd,52.529,41,23.59090909090909,14.5,38.09090909090909,0.07515371535575151,0.0465450814673449,0.028608633888406596,Bid,0.6193317422434367
223,E_TOLLB-1,BATTERY,E_TOLLB,Tollgate Energy Storage Ltd,49.0,38,19.5,18.0,37.5,0.07398784626312051,0.03847368005682267,0.03551416620629785,Bid,0.52
