predictor,source_column,feature,fuel_type,side,mean_abs_shap,conditional_mean_shap_when_active,share_positive_shap_when_active,share_negative_shap_when_active,active_rows_in_shap_sample,mdi,model_train_r2,shap_expected_value,overall_shap_rank,side_shap_rank
BMU ID,marginal_bmu_id,E_DOLLB-1_BID,OTHER,BID,0.021399935745935787,-2.5895842821699517,0.0,1.0,18,0.0011037467977090373,0.12628903778075173,80.29192900544797,70,27
BMU ID,marginal_bmu_id,T_CLDNW-1_BID,WIND,BID,0.02019518003374233,-10.413583827896897,0.0,1.0,5,0.002035501534601662,0.12628903778075173,80.29192900544797,71,28
BMU ID,marginal_bmu_id,M_SLOY-1_OFFER,NPSHYD,OFFER,0.019753113707763923,4.3890064260780495,1.0,0.0,10,0.0014262274926946212,0.12628903778075173,80.29192900544797,72,44
BMU ID,marginal_bmu_id,T_WHILW-2_BID,WIND,BID,0.019245118428173013,-6.994586074832035,0.0,1.0,9,0.0011483272467249198,0.12628903778075173,80.29192900544797,73,29
BMU ID,marginal_bmu_id,T_GRAI-7_BID,CCGT,BID,0.01887210018342684,-0.7490864398054708,0.0,1.0,50,0.0006014328585259355,0.12628903778075173,80.29192900544797,74,30
BMU ID,marginal_bmu_id,T_DIDCB5_OFFER,CCGT,OFFER,0.018870320375053755,2.9365495112084727,1.0,0.0,16,0.0008780605358937714,0.12628903778075173,80.29192900544797,75,45
BMU ID,marginal_bmu_id,T_GRAI-8_BID,CCGT,BID,0.018290786568558388,-0.5402345769389917,0.0,1.0,63,0.0004916707700539786,0.12628903778075173,80.29192900544797,76,31
BMU ID,marginal_bmu_id,T_GLNDO-1_OFFER,NPSHYD,OFFER,0.01760777108503334,3.280026167352459,1.0,0.0,11,0.0011917482886008135,0.12628903778075173,80.29192900544797,77,46
BMU ID,marginal_bmu_id,T_MEDP-1_OFFER,CCGT,OFFER,0.016466289243290418,2.883418767057985,1.0,0.0,13,0.0010366248025880111,0.12628903778075173,80.29192900544797,78,47
BMU ID,marginal_bmu_id,T_BEATO-4_BID,WIND,BID,0.01572740798147514,-13.855100126906757,0.0,1.0,3,0.0020784688281134,0.12628903778075173,80.29192900544797,79,32
BMU ID,marginal_bmu_id,T_AKGLW-3_BID,WIND,BID,0.01570347445486655,-7.062634029933697,0.0,1.0,5,0.0014812194106255572,0.12628903778075173,80.29192900544797,80,33
BMU ID,marginal_bmu_id,T_DRSLW-1_BID,WIND,BID,0.015483540451317904,-6.911767580481087,0.0,1.0,6,0.0013173872125737541,0.12628903778075173,80.29192900544797,81,34
BMU ID,marginal_bmu_id,T_SGRWO-3_BID,WIND,BID,0.015366873915554375,-3.922737219746067,0.0,1.0,10,0.001011778460224367,0.12628903778075173,80.29192900544797,82,35
BMU ID,marginal_bmu_id,T_CDCL-1_BID,CCGT,BID,0.014639516376118804,-0.8631842589136729,0.0,1.0,28,0.0005644184655950756,0.12628903778075173,80.29192900544797,83,36
BMU ID,marginal_bmu_id,T_WDRGW-1_BID,WIND,BID,0.014552684469088216,-5.296224583376649,0.0,1.0,8,0.0010237087982379748,0.12628903778075173,80.29192900544797,84,37
BMU ID,marginal_bmu_id,I_IBG-INCM1_OFFER,BritNed,OFFER,0.014509193164214416,10.835782239608088,1.0,0.0,4,0.0017313720541942404,0.12628903778075173,80.29192900544797,85,48
BMU ID,marginal_bmu_id,T_HOWAO-3_BID,WIND,BID,0.01448838525236818,-5.370461231704966,0.0,1.0,7,0.0012411513521708788,0.12628903778075173,80.29192900544797,86,38
BMU ID,marginal_bmu_id,T_HOWAO-1_BID,WIND,BID,0.014159992885467773,-4.670073258800012,0.0,1.0,7,0.001276653484161721,0.12628903778075173,80.29192900544797,87,39
BMU ID,marginal_bmu_id,2__AFLEX003_OFFER,LOAD RESPONSE,OFFER,0.01361828247641779,4.157110469487467,1.0,0.0,6,0.0011990862138950397,0.12628903778075173,80.29192900544797,88,49
BMU ID,marginal_bmu_id,T_LBAR-1_OFFER,CCGT,OFFER,0.013539850970072135,3.775635638692793,1.0,0.0,7,0.0011298384200851461,0.12628903778075173,80.29192900544797,89,50
BMU ID,marginal_bmu_id,T_LAGA-1_OFFER,CCGT,OFFER,0.013539309695979556,2.4365135564767897,1.0,0.0,12,0.0007694998957766641,0.12628903778075173,80.29192900544797,90,51
BMU ID,marginal_bmu_id,T_DINO-3_BID,PS,BID,0.012938357332203238,-1.7323496831987524,0.0,1.0,13,0.0007422523246016969,0.12628903778075173,80.29192900544797,91,40
BMU ID,marginal_bmu_id,T_WBURB-3_BID,CCGT,BID,0.01285666685025931,-0.4623891258346048,0.0,1.0,57,0.00034942455781668063,0.12628903778075173,80.29192900544797,92,41
BMU ID,marginal_bmu_id,I_IND-DSKC1_BID,NEMO,BID,0.012125289507914467,-4.886230014565675,0.0,1.0,7,0.000852184596712199,0.12628903778075173,80.29192900544797,93,42
BMU ID,marginal_bmu_id,T_AKGLW-2_BID,WIND,BID,0.011579469039599008,-5.865239884633081,0.0,1.0,5,0.0010754781174511258,0.12628903778075173,80.29192900544797,94,43
BMU ID,marginal_bmu_id,T_BEATO-2_BID,WIND,BID,0.01130183427670757,-7.112887464087035,0.0,1.0,5,0.0009134085544679497,0.12628903778075173,80.29192900544797,95,44
BMU ID,marginal_bmu_id,T_FALGW-1_BID,WIND,BID,0.011223433889657276,-7.27140067196826,0.0,1.0,4,0.0012776569253065795,0.12628903778075173,80.29192900544797,96,45
BMU ID,marginal_bmu_id,I_IVG-INCM1_OFFER,Viking,OFFER,0.01117365344608455,11.153481821059382,1.0,0.0,3,0.0014878866922769002,0.12628903778075173,80.29192900544797,97,52
BMU ID,marginal_bmu_id,T_PEMB-21_OFFER,CCGT,OFFER,0.010606743357602992,2.844141400079217,1.0,0.0,8,0.000846541535931489,0.12628903778075173,80.29192900544797,98,53
BMU ID,marginal_bmu_id,T_EAAO-2_BID,WIND,BID,0.010403712024702855,-7.101548028148298,0.0,1.0,3,0.0016172859409628914,0.12628903778075173,80.29192900544797,99,46
BMU ID,marginal_bmu_id,T_DINO-4_BID,PS,BID,0.010301913067697843,-1.5791870606956853,0.0,1.0,12,0.0005968152496202566,0.12628903778075173,80.29192900544797,100,47
BMU ID,marginal_bmu_id,T_EAAO-1_BID,WIND,BID,0.00975093959258484,-3.998351948977607,0.0,1.0,6,0.0008769662533898081,0.12628903778075173,80.29192900544797,101,48
BMU ID,marginal_bmu_id,E_PILLB-1_BID,BATTERY,BID,0.009679455659711574,-2.0008021384444663,0.0,1.0,7,0.0008061602848782151,0.12628903778075173,80.29192900544797,102,49
BMU ID,marginal_bmu_id,I_IVG-MFTE1_OFFER,Viking,OFFER,0.008862970787425683,10.682303974503517,1.0,0.0,3,0.0007592284865320277,0.12628903778075173,80.29192900544797,103,54
BMU ID,marginal_bmu_id,2__HANGE003_BID,LOAD RESPONSE,BID,0.00854466372984781,-1.6992209316766398,0.0,1.0,11,0.0004918978458639354,0.12628903778075173,80.29192900544797,104,50
BMU ID,marginal_bmu_id,T_GRAI-6_BID,CCGT,BID,0.008342985129552423,-0.4032673072544646,0.0,1.0,37,0.0002828820019620086,0.12628903778075173,80.29192900544797,105,51
BMU ID,marginal_bmu_id,T_BEATO-1_BID,WIND,BID,0.008278118226915836,-6.087524935746753,0.0,1.0,4,0.0007920035510032204,0.12628903778075173,80.29192900544797,106,52
BMU ID,marginal_bmu_id,T_WBURB-2_OFFER,CCGT,OFFER,0.008202740724231055,1.2698996432706482,1.0,0.0,14,0.0004686374599255851,0.12628903778075173,80.29192900544797,107,55
BMU ID,marginal_bmu_id,2__GSTAT001_OFFER,BATTERY,OFFER,0.007223996276234217,2.5596062245730664,1.0,0.0,6,0.00058682190635163,0.12628903778075173,80.29192900544797,108,56
BMU ID,marginal_bmu_id,T_PEMB-51_BID,CCGT,BID,0.006891293344393485,-0.5481732331456403,0.0,1.0,25,0.00031621093597279144,0.12628903778075173,80.29192900544797,109,53
BMU ID,marginal_bmu_id,T_CRYRW-2_BID,WIND,BID,0.00674395046002824,-4.288885825815026,0.0,1.0,4,0.000751782179333048,0.12628903778075173,80.29192900544797,110,54
BMU ID,marginal_bmu_id,T_CRUA-2_BID,PS,BID,0.00654288473234165,-1.27611102784892,0.0,1.0,7,0.0004906353769646649,0.12628903778075173,80.29192900544797,111,55
BMU ID,marginal_bmu_id,T_RATS-4_OFFER,COAL,OFFER,0.006521778887845547,3.4833322404417153,1.0,0.0,4,0.0007246401213634404,0.12628903778075173,80.29192900544797,112,57
BMU ID,marginal_bmu_id,T_DOREW-1_BID,WIND,BID,0.006080867038409942,-4.814389701465922,0.0,1.0,3,0.0007497987695748615,0.12628903778075173,80.29192900544797,113,56
BMU ID,marginal_bmu_id,T_FFES-4_OFFER,PS,OFFER,0.005405997243186276,1.4607371685433261,1.0,0.0,9,0.0003615577624974627,0.12628903778075173,80.29192900544797,114,58
