threshold_basis,tail_fraction,quantile,year,side,system_price_threshold_gbp_mwh,n_side_periods,n_tail_periods,technology,overall_marginal_share,tail_share,tail_representation_ratio
year_specific,0.05,0.05,2023,bid,-21.53,8920,449,BATTERY,0.043044585894922216,0.0066815144766146995,0.15522310965948655
year_specific,0.05,0.05,2023,bid,-21.53,8920,449,CCGT,0.5571558029041214,0.0378619153674833,0.0679557049753977
year_specific,0.05,0.05,2023,bid,-21.53,8920,449,PS,0.07762731538516292,0.028953229398663696,0.3729773373587204
year_specific,0.05,0.95,2023,offer,215.0,8127,408,BATTERY,0.06361304894410916,0.0352328431372549,0.5538618840327982
year_specific,0.05,0.95,2023,offer,215.0,8127,408,CCGT,0.5210249514236225,0.5116421568627451,0.9819916598327194
year_specific,0.05,0.95,2023,offer,215.0,8127,408,PS,0.26618199964453193,0.3321078431372549,1.2476720573921696
year_specific,0.05,0.05,2024,bid,-19.674814185823237,8869,444,BATTERY,0.15356885397335276,0.07150900900900901,0.4656478651681365
year_specific,0.05,0.05,2024,bid,-19.674814185823237,8869,444,CCGT,0.40870720965432883,0.006756756756756757,0.016532022428651063
year_specific,0.05,0.05,2024,bid,-19.674814185823237,8869,444,PS,0.06532506421304482,0.03490990990990991,0.5344029941717029
year_specific,0.05,0.95,2024,offer,134.72290224358971,7902,396,BATTERY,0.1835067360646328,0.17709599603538997,0.9650653694424334
year_specific,0.05,0.95,2024,offer,134.72290224358971,7902,396,CCGT,0.4307225863509083,0.4128787878787879,0.9585724105547994
year_specific,0.05,0.95,2024,offer,134.72290224358971,7902,396,PS,0.18515755420652916,0.11868686868686869,0.6410047334848813
year_specific,0.05,0.05,2025,bid,-15.93,9198,464,BATTERY,0.3045281582952816,0.19734195402298854,0.6480253094744644
year_specific,0.05,0.05,2025,bid,-15.93,9198,464,CCGT,0.349384830035515,0.00646551724137931,0.018505432078210406
year_specific,0.05,0.05,2025,bid,-15.93,9198,464,PS,0.03492788287308835,0.021551724137931036,0.6170349407159877
year_specific,0.05,0.95,2025,offer,152.25,7668,385,BATTERY,0.2786594567404426,0.1572356215213358,0.5642572599565244
year_specific,0.05,0.95,2025,offer,152.25,7668,385,CCGT,0.42924543143635474,0.5103896103896104,1.1890391207699718
year_specific,0.05,0.95,2025,offer,152.25,7668,385,PS,0.09804071341630027,0.10974025974025974,1.1193335494640972
year_specific,0.1,0.1,2023,bid,0.0,8920,1042,BATTERY,0.043044585894922216,0.009846359654421075,0.22874792380294703
year_specific,0.1,0.1,2023,bid,0.0,8920,1042,CCGT,0.5571558029041214,0.03814779270633397,0.0684688062252825
year_specific,0.1,0.1,2023,bid,0.0,8920,1042,PS,0.07762731538516292,0.05085757173089227,0.6551504644795791
year_specific,0.1,0.9,2023,offer,196.8100000000001,8127,813,BATTERY,0.06361304894410916,0.03859163591635916,0.6066622580889972
year_specific,0.1,0.9,2023,offer,196.8100000000001,8127,813,CCGT,0.5210249514236225,0.49907749077490776,0.9578763731204301
year_specific,0.1,0.9,2023,offer,196.8100000000001,8127,813,PS,0.26618199964453193,0.33210332103321033,1.2476550686248953
year_specific,0.1,0.1,2024,bid,-4.305999999999995,8869,887,BATTERY,0.15356885397335276,0.09808342728297632,0.6386934898921349
year_specific,0.1,0.1,2024,bid,-4.305999999999995,8869,887,CCGT,0.40870720965432883,0.02142051860202931,0.052410425106388714
year_specific,0.1,0.1,2024,bid,-4.305999999999995,8869,887,PS,0.06532506421304482,0.02987598647125141,0.4573433923281999
year_specific,0.1,0.9,2024,offer,125.0,7902,861,BATTERY,0.1835067360646328,0.18872372304428053,1.0284294031463252
year_specific,0.1,0.9,2024,offer,125.0,7902,861,CCGT,0.4307225863509083,0.4337979094076655,1.0071399159324599
year_specific,0.1,0.9,2024,offer,125.0,7902,861,PS,0.18515755420652916,0.13182346109175377,0.7119529184572979
year_specific,0.1,0.1,2025,bid,-4.011999999999998,9198,920,BATTERY,0.3045281582952816,0.23657608695652171,0.7768611227311495
year_specific,0.1,0.1,2025,bid,-4.011999999999998,9198,920,CCGT,0.349384830035515,0.005434782608695652,0.015555290732408748
year_specific,0.1,0.1,2025,bid,-4.011999999999998,9198,920,PS,0.03492788287308835,0.021739130434782608,0.622400461939605
year_specific,0.1,0.9,2025,offer,140.0,7668,790,BATTERY,0.2786594567404426,0.2075768535262206,0.7449122881179234
year_specific,0.1,0.9,2025,offer,140.0,7668,790,CCGT,0.42924543143635474,0.419620253164557,0.9775765155156347
year_specific,0.1,0.9,2025,offer,140.0,7668,790,PS,0.09804071341630027,0.13993670886075948,1.427332625238665
