niv_active_side,technology,overall_weight,overall_share,tail_weight,tail_share,overall_share_pct,tail_share_pct,overrepresentation_pp,tail_quantile,system_price_threshold_gbp_mwh,n_side_periods,n_tail_periods
bid,Viking,117.0,0.004335420758142809,15.0,0.011111111111111112,0.43354207581428095,1.1111111111111112,0.6775690352968302,P5 lower,-17.975999999999985,26987,1350
bid,IFA2,103.0,0.0038166524622966613,23.0,0.017037037037037038,0.38166524622966613,1.7037037037037037,1.3220384574740376,P5 lower,-17.975999999999985,26987,1350
bid,Eleclink,39.0,0.0014451402527142698,0.0,0.0,0.14451402527142698,0.0,-0.14451402527142698,P5 lower,-17.975999999999985,26987,1350
bid,DIESEL,15.666666666666666,0.0005805264263040229,0.0,0.0,0.058052642630402294,0.0,-0.058052642630402294,P5 lower,-17.975999999999985,26987,1350
bid,GAS,15.336904761904762,0.0005683071390634292,0.0,0.0,0.056830713906342915,0.0,-0.056830713906342915,P5 lower,-17.975999999999985,26987,1350
bid,SOLAR,12.0,0.0004446585392966984,4.0,0.002962962962962963,0.04446585392966984,0.2962962962962963,0.25183044236662644,P5 lower,-17.975999999999985,26987,1350
offer,CCGT,10929.393625818626,0.4612142307388541,616.25,0.49939222042139386,46.12142307388541,49.939222042139384,3.8177989682539746,P95 upper,190.0,23697,1234
offer,PS,4378.152294927295,0.18475555112154682,386.25,0.3130064829821718,18.47555511215468,31.300648298217183,12.825093186062503,P95 upper,190.0,23697,1234
offer,BATTERY,4103.814191437218,0.1731786382848976,54.83552631578947,0.044437217435809945,17.31786382848976,4.443721743580994,-12.874142084908765,P95 upper,190.0,23697,1234
offer,OTHER,1206.1226069252384,0.05089769198317249,29.254554655870447,0.02370709453474104,5.089769198317249,2.3707094534741042,-2.719059744843145,P95 upper,190.0,23697,1234
offer,DSR,887.9006540973646,0.037468905519574824,8.29895411605938,0.0067252464473738895,3.7468905519574824,0.6725246447373889,-3.0743659072200935,P95 upper,190.0,23697,1234
offer,NPSHYD,405.71679154179157,0.01712101918140657,28.0,0.022690437601296597,1.7121019181406572,2.2690437601296596,0.5569418419890024,P95 upper,190.0,23697,1234
offer,DIESEL,381.22742535242537,0.01608758177627655,4.0,0.0032414910858995136,1.608758177627655,0.3241491085899514,-1.2846090690377037,P95 upper,190.0,23697,1234
offer,OCGT,329.0993829270145,0.01388780786289465,13.085964912280701,0.010604509653387927,1.388780786289465,1.0604509653387928,-0.3283298209506722,P95 upper,190.0,23697,1234
offer,BIOMASS,314.75,0.013282272017554964,7.5,0.006077795786061589,1.3282272017554964,0.6077795786061588,-0.7204476231493375,P95 upper,190.0,23697,1234
offer,COAL,231.95,0.009788158838671561,17.5,0.014181523500810372,0.9788158838671561,1.4181523500810371,0.439336466213881,P95 upper,190.0,23697,1234
offer,BritNed,146.66666666666666,0.006189250397378008,18.0,0.014586709886547812,0.6189250397378009,1.4586709886547813,0.8397459489169804,P95 upper,190.0,23697,1234
offer,NEMO,96.83333333333333,0.004086311910087071,13.0,0.01053484602917342,0.40863119100870715,1.053484602917342,0.6448534119086348,P95 upper,190.0,23697,1234
offer,GAS,89.37302697302697,0.003771491200279654,8.025,0.0065032414910859,0.3771491200279654,0.65032414910859,0.27317502908062463,P95 upper,190.0,23697,1234
offer,Viking,73.0,0.003080558720513145,12.0,0.009724473257698542,0.3080558720513145,0.9724473257698543,0.6643914537185398,P95 upper,190.0,23697,1234
offer,IFA,50.0,0.0021099717263788663,8.0,0.006482982171799027,0.21099717263788664,0.6482982171799028,0.4373010445420161,P95 upper,190.0,23697,1234
offer,WIND,33.0,0.0013925813394100519,0.0,0.0,0.1392581339410052,0.0,-0.1392581339410052,P95 upper,190.0,23697,1234
offer,IFA2,26.0,0.0010971852977170106,10.0,0.008103727714748784,0.10971852977170106,0.8103727714748784,0.7006542417031774,P95 upper,190.0,23697,1234
offer,Eleclink,14.0,0.0005907920833860826,0.0,0.0,0.05907920833860826,0.0,-0.05907920833860826,P95 upper,190.0,23697,1234
